Name,Type,Country,Matches,Wickets,Overs,Average,Economy,Strike Rate,Wk/over,Ov/Mtch,Wkpermatch,Balls,Top,Middle,Lower,CBR
"Malinga, Separamadu L",fast,Sri Lanka,30,101,868.16,33.16,3.86,51.57,0.116346043082594,28.9366666666667,3.36666666666667,5209,38.6,34.7,26.7,9.72084041040312
"Marshall, Malcolm D",fast,West Indies,81,376,2930.66,20.95,2.69,46.77,0.128310128310128,36.1777777777778,4.64197530864198,17584,33.2,40.4,26.3,6.80486383241697
"McDermott, Craig J",fast,Australia,71,291,2764.33,28.63,3.01,57,0.105274582157586,38.9323943661972,4.09859154929578,16586,36.4,39.2,24.4,7.79832147253445
"McLean, Nixon A M",fast,West Indies,19,44,549.83,42.57,3.41,74.98,0.08007279344859,28.9210526315789,2.31578947368421,3299,29.5,40.9,29.5,9.08863024171413
Mohammad Amir,fast,Pakistan,23,81,824.33,31.47,3.09,61.06,0.098261618526561,35.8404347826087,3.52173913043478,4946,48.1,32.1,19.8,8.06932683342092
Mohammad Sami,fast,Pakistan,36,85,1249.83,52.74,3.59,88.22,0.068027210884354,34.7083333333333,2.36111111111111,7499,41.2,35.3,23.5,9.71352324814221
Mohsin Kamal,fast,Pakistan,9,24,224.66,34.25,3.66,56.17,0.106951871657754,24.9333333333333,2.66666666666667,1348,41.7,33.3,25,9.36843560313767
"Morkel, Morne",fast,South Africa,71,242,2273.33,29.33,3.12,56.36,0.106451768990864,32.0187323943662,3.40845070422535,13640,36.8,35.5,27.7,8.05692087384677
"Ntini, Makhaya",fast,South Africa,101,390,3472.33,28.83,3.24,53.42,0.112320718852601,34.3782178217822,3.86138613861386,20834,38.2,38.2,23.6,8.28620217796127
"Olonga, Henry K",fast,Zimbabwe,30,68,750.33,38.53,3.49,66.21,0.090642495334578,25.0066666666667,2.26666666666667,4502,39.7,35.3,25,9.15778276685851
"Patterson, Balfour P",fast,West Indies,28,93,804.83,30.9,3.57,51.92,0.115599751398384,28.7321428571429,3.32142857142857,4829,35.5,30.1,34.4,9.04336551551651
"Plunkett, Liam E",fast,England,13,41,443.16,37.46,3.47,64.85,0.092529902956443,34.0846153846154,3.15384615384615,2659,36.6,41.5,22,9.082658184381
"Rackeman, Carl G",fast,Australia,12,39,453.16,29.15,2.51,69.72,0.08607371441183,37.7583333333333,3.25,2719,28.2,43.6,28.2,6.71058703442317
"Roach, Kemar A J",fast,West Indies,37,122,1129.83,30.24,3.27,55.57,0.107980846676049,30.5359459459459,3.2972972972973,6779,41,28.7,30.3,8.40631646290952
"Rose, Franklyn A",fast,West Indies,19,53,520.66,30.83,3.14,58.94,0.10184473481937,27.3894736842105,2.78947368421053,3124,32.1,41.5,26.4,8.15497312717783
Rubel Hossain,fast,Bangladesh,23,32,622,75.91,3.91,116.63,0.051446945337621,27.0434782608696,1.39130434782609,3732,43.8,40.6,15.6,10.8107292364598
"Schultz, Brett N",fast,South Africa,9,37,288.83,20.24,2.59,46.84,0.128249566724437,32.0555555555556,4.11111111111111,1733,27,48.6,24.3,6.56660941711503
Shoaib Akhtar,fast,Pakistan,46,178,1357.16,25.7,3.37,45.75,0.131162036695896,29.5021739130435,3.8695652173913,8143,36,35.4,28.7,8.39150665184674
"Starc, Mitchell A",fast,Australia,32,136,1094.5,27.58,3.43,48.29,0.124257651895843,34.203125,4.25,6567,37.5,34.6,27.9,8.6080356262715
"Steyn, Dale W",fast,South Africa,85,417,2881,22.31,3.23,41.45,0.144741409232905,33.8941176470588,4.90588235294118,17286,32.6,35.7,31.7,7.92506219850936
"Taylor, Jerome E",fast,West Indies,46,130,1292.83,34.46,3.47,59.67,0.100554597278838,28.105,2.82608695652174,7757,43.8,42.3,13.8,8.98304636031175
"Thomas, John G",fast,England,5,10,129,50.4,3.91,77.4,0.077519379844961,25.8,2,774,30,30,40,10.398049746197
"Tudor, Alex Jeremy",fast,England,10,28,252,34.39,3.82,54,0.111111111111111,25.2,2.8,1512,32.1,46.4,21.4,9.69691191063165
Wahab Riaz,fast,Pakistan,22,70,678.33,33.16,3.42,58.14,0.103194610292925,30.8331818181818,3.18181818181818,4070,34.3,48.6,17.1,8.82990931574608
"Walsh, Courtney A",fast,West Indies,132,519,5003.16,24.44,2.54,57.84,0.103735683875997,37.9022727272727,3.93181818181818,30019,34.1,34.5,31.4,6.63854298112019
Waqar Younis,fast,Pakistan,87,373,2704,23.56,3.25,43.5,0.137943786982249,31.0804597701149,4.28735632183908,16224,35.4,35.4,29.2,8.04018731820358
Wasim Akram,fast,Pakistan,104,414,3771.16,23.62,2.59,54.65,0.109782291639044,36.2605769230769,3.98076923076923,22627,31.9,33.1,35,6.71538078043869
"Chameera, P V Dushmantha",fast,Sri Lanka,5,21,143.83,27.28,3.98,41,0.109782291639044,36.2605769230769,4.2,863,28.6,33.3,38.1,9.6060428370928
"Cummins, Miguel L",fast,West Indies,5,10,118.33,40.8,3.44,71,0.109782291639044,36.2605769230769,2,710,30,40,30,9.11045556276117
"Wood, Mark A",fast,England,8,25,254.5,34.4,3.38,61.08,0.098309083759339,31.7875,3.125,1527,24,56,20,8.78992792695859
"Zondeki, Monde",fast,South Africa,6,19,130,25.26,3.69,41.05,0.146153846153846,21.6666666666667,3.16666666666667,780,21.1,42.1,36.8,8.95651982678932
Aamir Nazir,FM,Pakistan,6,20,176.16,29.85,3.39,52.85,0.113533151680291,29.36,3.33333333333333,1057,50,25,25,8.63539056060106
Aaqib Javed,FM,Pakistan,22,54,653,34.7,2.87,72.56,0.082695252679939,29.6818181818182,2.45454545454545,3918,42.6,31.5,25.9,7.67200250899947
"Abbott, Kyle J",FM,South Africa,9,34,282,21.47,2.59,49.76,0.120567375886525,31.3333333333333,3.77777777777778,1692,29.4,38.2,32.4,6.62582994428068
Abdul Razzaq,FM,Pakistan,46,100,1168,36.94,3.16,70.08,0.085616438356164,25.3913043478261,2.17391304347826,7008,25,40,35,8.38466545657401
"Alderman, Terence M",FM,Australia,41,170,1696.83,27.15,2.72,59.89,0.100186818950631,41.3860975609756,4.14634146341463,10181,37.6,36.5,25.9,7.12290030778484
"Allott, Geoffrey I",FM,New Zealand,10,19,337.16,58.47,3.3,106.47,0.056353066793214,33.716,1.9,2017,47.4,36.8,15.8,9.10400208408088
"Allott, Paul J W",FM,England,13,26,370.83,41.69,2.92,85.58,0.070112989779683,28.5253846153846,2,2225,34.6,34.6,30.8,7.93362634956996
"Anderson, James M",FM,England,122,467,4473.33,28.5,2.98,57.47,0.104396501040612,36.6666393442623,3.82786885245902,26840,37.5,37.7,24.8,7.73079173401667
